el article	el	article	masculine singular definite article; the		
cerebro noun	cerebro	noun	brain	Cuidar el cerebro mejora la memoria y la atención.	Taking care of the brain improves memory and attention.
bañar verb	bañar	verb	to bathe oneself	Me estaba bañando cuando llamaste por teléfono.	I was taking a bath when you called.
recomendar verb	recomendar	verb	to recommend	Siempre recomiendan beber suficiente agua.	They always recommend drinking enough water.
hogar noun	hogar	noun	home	En mi hogar aprendí valores importantes.	At home I learned important values.
esposo noun	esposo	noun	husband	Mi esposo cocina la cena hoy.	My husband is cooking dinner today.
idiota noun	idiota	noun	idiot, moron, fool, dork, eejit	Nadie quiere parecer un idiota durante la presentación.	No one wants to look like an idiot during the presentation.
región noun	región	noun	region	Mi región tiene ríos y bosques.	My region has rivers and forests.
cuestión noun	cuestión	noun	matter, question, issue	Tenemos que discutir esta cuestión hoy.	We have to discuss this issue today.
conductor noun	conductor	noun	driver	El conductor respetó todas las señales.	The driver obeyed all the signs.
burlar verb	burlar	verb	to outwit, to outsmart, to circumvent, to trick, to deceive	Logró burlar a la policía anoche.	They managed to evade the police last night.
aceite noun	aceite	noun	oil	Revisa el nivel de aceite del coche.	Check the car's oil level.
quince num	quince	num	fifteen	Compramos quince libros para la clase.	We bought fifteen books for the class.
elefante noun	elefante	noun	elephant	El elefante es un animal muy grande y fuerte.	The elephant is a very large and strong animal.
lastimar verb	lastimar	verb	to injure	Cuidado, puedes lastimarte con ese cuchillo.	Careful, you can hurt yourself with that knife.
describir verb	describir	verb	to describe, represent in words	Mañana describiré los resultados del estudio.	Tomorrow I will describe the results of the study.
controlar verb	controlar	verb	to control, to rein in	No pude controlar la situación ayer.	I couldn't control the situation yesterday.
lanzar verb	lanzar	verb	to throw	En clase, lanzamos un avión de papel.	In class, we threw a paper airplane.
bolígrafo noun	bolígrafo	noun	ballpoint pen	Necesito un bolígrafo azul para escribir.	I need a blue pen to write.
supuesto adj	supuesto	adj	supposed, self-styled, alleged	Mostraron unas supuestas pruebas que eran falsas.	They showed some alleged evidence that was false.
sostener verb	sostener	verb	to hold, to hold up, to prop up, to sustain, to underpin (physically)	¿Puedes sostener esta caja pesada?	Can you hold this heavy box?
supuesto noun	supuesto	noun	assumption, hypothesis	Ese supuesto no se sostiene con los datos.	That assumption is not supported by the data.
parado adj	parado	adj	stopped, halted, immobile, idle	Estaban parados bajo la lluvia esperando.	They were standing in the rain waiting.
parado noun	parado	noun	unemployed person	Hay muchos parados en el barrio.	There are many unemployed people in the neighborhood.
escritor noun	escritor	noun	writer	Muchos escritores trabajan de noche en silencio.	Many writers work at night in silence.
casualidad noun	casualidad	noun	chance, coincidence, happenstance, fluke, accident	¿Fue una casualidad o lo planeaste?	Was it a coincidence or did you plan it?
muñeca noun	muñeca	noun	wrist	Me duele la muñeca derecha al escribir.	My right wrist hurts when I write.
yen noun	yen	noun	yen	El precio está en yenes japoneses.	The price is in Japanese yen.
honesto adj	honesto	adj	honest	Él intenta ser honesto consigo mismo.	He tries to be honest with himself.
altura noun	altura	noun	height	Ella mide su altura cada año.	She measures her height every year.
electrónico adj	electrónico	adj	electronic	Compré un libro electrónico muy barato.	I bought a very cheap e-book.
arruinar verb	arruinar	verb	to ruin	El accidente arruinó mi día.	The accident ruined my day.
apetecer verb	apetecer	verb	to feel like, to fancy; would like, to be down for (US slang)	¿Te apetece tomar un café?	Do you feel like having a coffee?
herir verb	herir	verb	to wound, injure (to cause physical injury and pain)	El cuchillo la hirió en la mano.	The knife injured her hand.
precioso adj	precioso	adj	precious	Su amistad es un regalo precioso.	Your friendship is a precious gift.
tomate noun	tomate	noun	tomato (fruit)	Compré tomates frescos en el mercado.	I bought fresh tomatoes at the market.
oferta noun	oferta	noun	offer (a proposal that has been made)	Acepté la oferta de trabajo ayer.	I accepted the job offer yesterday.
probable adj	probable	adj	probable, likely	Es poco probable que venga.	It's unlikely that he'll come.
trampa noun	trampa	noun	trap, snare (device for trapping animals)	Las trampas para aves necesitan revisarse todos los días.	Bird traps need to be checked every day.
pasaporte noun	pasaporte	noun	passport	Ella perdió su pasaporte ayer.	She lost her passport yesterday.
doble adj	doble	adj	double	Compraron una cama doble muy cómoda.	They bought a very comfortable double bed.
doble noun	doble	noun	double, twice as much	Ella gana el doble que yo.	She earns twice as much as I do.
pretender verb	pretender	verb	to intend, to aim (for/to)	Pretendo terminar el proyecto hoy.	I intend to finish the project today.
fingir verb	fingir	verb	to pretend (to act as though something is different from what it is)	Ella fingía dormir para escuchar.	She pretended to be asleep in order to listen.
generalizar verb	generalizar	verb	to generalize	xxx	xxx
tender verb	tender	verb	to tend to, to have a tendency	La gente tiende a generalizar demasiado.	People tend to generalize too much.
desactivar verb	desactivar	verb	to deactivate (to make something inactive), to disable (to deactivate a function of an electronic or mechanical device) 	xxx	xxx
bomba noun	bomba	noun	bomb (an explosive device used or intended as a weapon)	La policía desactivó una bomba en la estación.	The police defused a bomb at the station.
sed noun	sed	noun	thirst	Después de correr, tengo mucha sed.	After running, I am very thirsty.
despierto adj	despierto	adj	awake	Hoy estoy despierto desde las seis.	I've been awake since six today.
material adj	material	adj	material	Necesitamos pruebas materiales para sostener la acusación.	We need physical evidence to support the accusation.
material noun	material	noun	material	Trae el material para la clase.	Bring the materials for the class.
hombro noun	hombro	noun	shoulder	Me duele el hombro después de nadar.	My shoulder hurts after swimming.
hábito noun	hábito	noun	habit, custom	Romper un mal hábito puede ser difícil.	Breaking a bad habit can be difficult.
ascensor noun	ascensor	noun	elevator, lift	El ascensor tarda demasiado en llegar hoy.	The elevator is taking too long to arrive today.
visita noun	visita	noun	visit	Espero tu visita el próximo sábado.	I look forward to your visit next Saturday.
excepto prep	excepto	prep	except	A todos les respondí, excepto a ti.	I replied to everyone, except you.
descanso noun	descanso	noun	rest, break	Aprovecho el descanso para leer.	I take advantage of the break to read.
esquina noun	esquina	noun	corner	La tienda está en la esquina.	The store is on the corner.
cargo noun	cargo	noun	charge, burden	Ella quedó a cargo de la tienda.	She was left in charge of the store.
resfriado adj	resfriado	adj	afflicted with the common cold	Hoy estoy resfriado y muy cansado.	Today I have a cold and I'm very tired.
resfriado noun	resfriado	noun	a cold	El resfriado dura unos días normalmente.	A cold normally lasts a few days.
ejército noun	ejército	noun	army	El ejército avanzó por la frontera lentamente.	The army advanced along the border slowly.
cerdo adj	cerdo	adj	dirty	Ese filme es muy cerdo y no quiero verlo.	That film is really gross and I don't want to watch it.
cerdo noun	cerdo	noun	pig, hog	Vi un cerdo en el campo.	I saw a pig in the field.
meta noun	meta	noun	goal, target	Mi meta es aprender español.	My goal is to learn Spanish.
tontería noun	tontería	noun	something that is dumb	No digas tonterías en la reunión.	Don't talk nonsense in the meeting.
oreja noun	oreja	noun	outer ear; auricle	Me duele la oreja derecha desde ayer.	My right ear has been hurting since yesterday.
recuerdo noun	recuerdo	noun	memory	Perdí el recuerdo de su voz.	I've forgotten the sound of their voice.
contratar verb	contratar	verb	to contract, to take on	Estamos contratando a estudiantes para el verano.	We are hiring students for the summer.
araña noun	araña	noun	spider	Observamos arañas de colores en el jardín.	We observed colorful spiders in the garden.
rejuvenecer verb	rejuvenecer	verb	to rejuvenate	xxx	xxx
bob noun	bob	noun	bob, bob haircut (hairstyle)	Un bob corto puede rejuvenecer bastante.	A short bob can be quite rejuvenating.
método noun	método	noun	method	Aprendimos un nuevo método de estudio.	We learned a new study method.
personaje noun	personaje	noun	personage	Mi personaje favorito enfrenta sus miedos.	My favorite character faces their fears.
renunciar verb	renunciar	verb	to renounce, to abandon, to give up, to relinquish, to do without	Decidí renunciar a ese trabajo.	I decided to quit that job.
galleta noun	galleta	noun	cookie / biscuit	Quiero otra galleta con leche.	I want another cookie with milk.
cáncer noun	cáncer	noun	cancer	Después del cáncer, recuperó su energía lentamente.	After cancer, they slowly regained their energy.
respiración noun	respiración	noun	respiration	El médico escuchó su respiración con atención.	The doctor listened to their breathing attentively.
celular adj	celular	adj	cellular	Estudiamos la respiración celular en clase hoy.	We studied cellular respiration in class today.
celular noun	celular	noun	cell phone (US), mobile phone (UK, Australia)	¿Puedes llamar desde tu celular ahora?	Can you call from your cell phone now?
convexo adj	convexo	adj	convex	xxx	xxx
lente noun	lente	noun	lens	La lente convexa concentra la luz.	The convex lens focuses light.
absolutamente adv	absolutamente	adv	absolutely; completely; entirely; totally; utterly; wholly (in absolute manner)	Estoy absolutamente de acuerdo contigo.	I absolutely agree with you.
disculpa noun	disculpa	noun	excuse	Ofreció una disculpa sincera ayer.	They offered a sincere apology yesterday.
retirar verb	retirar	verb	to remove	Debemos retirar la basura hoy.	We must take out the trash today.
grado noun	grado	noun	degree	En cierto grado, me ayudó mucho.	To a certain degree, it helped me a lot.
esclavo noun	esclavo	noun	slave	El esclavo trabajaba largas horas en el campo.	The slave worked long hours in the field.
poseer verb	poseer	verb	to possess, to own, to hold, to have	Ellos poseen muchos libros antiguos.	They own many old books.
vídeo noun	vídeo	noun	video	Hoy vi un vídeo sobre historia.	Today I watched a video about history.
rueda noun	rueda	noun	circle (of people)	Nos sentamos en rueda para hablar.	We sat in a circle to talk.
dudar verb	dudar	verb	to doubt	Dudábamos de la oferta.	We were doubtful of the offer.
increíble adj	increíble	adj	incredible, unbelievable	Ayer, esta película fue realmente increíble.	Yesterday, this movie was really amazing.
emergencia noun	emergencia	noun	emergency	Las emergencias médicas requieren atención inmediata.	Medical emergencies require immediate attention.
vehículo noun	vehículo	noun	vehicle	El vehículo de emergencia pasó rápidamente.	The emergency vehicle passed quickly.
extremadamente adv	extremadamente	adv	extremely	Trabajaron extremadamente duro para terminar.	They worked extremely hard to finish.
toalla noun	toalla	noun	towel	Después de nadar, necesito una toalla seca.	After swimming, I need a dry towel.
girar verb	girar	verb	to turn, pivot	Ellos giraron lentamente hasta quedar frente a nosotros.	They turned slowly until they were facing us.
investigación noun	investigación	noun	investigation	La investigación produjo resultados muy claros.	The research produced very clear results.
atravesar verb	atravesar	verb	to cross, to traverse	Estoy atravesando un momento difícil, pero saldré adelante.	I'm going through a difficult time, but I'll get through it.
gallina noun	gallina	noun	hen	La gallina pone huevos frescos cada mañana.	The hen lays fresh eggs every morning.
asesinar verb	asesinar	verb	to murder	Ella fue acusada de asesinar a su compañero.	She was accused of murdering her partner.
complejo adj	complejo	adj	complex, sophisticated, intricate (made of multiple parts)	Este problema es bastante complejo.	This problem is quite complex.
complejo noun	complejo	noun	complex	El complejo de edificios ocupa toda la manzana.	The building complex occupies the entire city block.
moda noun	moda	noun	fashion	Me interesa la historia de la moda.	I'm interested in the history of fashion.
horrible adj	horrible	adj	horrible	La película fue horrible y aburrida.	The movie was horrible and boring.
artificial adj	artificial	adj	artificial	La respiración artificial puede salvar vidas.	Artificial respiration can save lives.
apartamento noun	apartamento	noun	flat, apartment	Estamos buscando un apartamento con dos habitaciones.	We are looking for an apartment with two bedrooms.
ciudadano noun	ciudadano	noun	citizen	Los ciudadanos votaron en las elecciones locales.	The citizens voted in the local elections.
respirar verb	respirar	verb	to breathe	Bajo el agua, no respires.	Under water, do not breathe.
dueño noun	dueño	noun	owner, proprietor, landlord	Conocí a los dueños del restaurante italiano.	I met the owners of the Italian restaurant.
espada noun	espada	noun	spade (playing card marked with the symbol ♠)	No tenía espadas, así que jugó un corazón.	He didn't have any spades, so he played a heart.
mediante prep	mediante	prep	by means of, through, using	Aprendí programación mediante cursos en línea.	I learned programming through online courses.
repetición noun	repetición	noun	repetition, repetition, rep (colloquial), replay, action replay	xxx	xxx
retroalimentación noun	retroalimentación	noun	feedback	xxx	xxx
motor adj	motor	adj	moving	El aprendizaje motor ocurre mediante repetición y retroalimentación.	Motor learning occurs through repetition and feedback.
motor noun	motor	noun	engine	El motor del coche hace ruido.	The car's engine makes noise.
afectar verb	afectar	verb	to affect, to have an effect on, to influence	El clima frío afecta nuestra salud.	Cold weather affects our health.
disculpe intj	disculpe	intj	excuse me; pardon me	Disculpe, ¿aceptan pago con tarjeta?	Excuse me, do you accept card payments?
adulto adj	adulto	adj	adult	Ofrecemos cursos para estudiantes adultos.	We offer courses for adult students.
adulto noun	adulto	noun	adult	Muchos adultos prefieren leer noticias por la mañana.	Many adults prefer to read the news in the morning.
prestado adj	prestado	adj	lent, loaned	Llegamos en un coche prestado ese día.	We arrived in a borrowed car that day.
pillar verb	pillar	verb	to catch, get, to grab (e.g. grab a cab, get lunch, grab a drink, catch a movie)	¿Quieres pillar algo de comer?	Do you want to grab something to eat?
privado adj	privado	adj	private, privy (e.g. a privy council)	Protege siempre tus datos privados.	Always protect your private data.
red noun	red	noun	web, mesh	En clase aprendimos cómo funciona la red de computadoras.	In class we learned how the computer network works.
semejante adj	semejante	adj	similar	Estas dos ideas son muy semejantes.	These two ideas are very similar.
poeta noun	poeta	noun	poet	Conocimos a varios poetas jóvenes hoy.	We met several young poets today.
morder verb	morder	verb	to bite, nip	Si sigues molestándolo, te morderá.	If you keep bothering him, he will bite you.
justicia noun	justicia	noun	justice	La justicia tarda, pero llega finalmente.	Justice is slow, but it eventually arrives.
ataque noun	ataque	noun	attack, offensive	El ataque del perro asustó a todos.	The dog's attack frightened everyone.
sabor noun	sabor	noun	flavor; taste	El sabor del tomate es fresco.	The flavor of the tomato is fresh.
miel noun	miel	noun	honey	Me gusta el té con miel.	I like tea with honey.
advertir verb	advertir	verb	to warn	Quiero advertirles que habrá retrasos mañana.	I want to warn you that there will be delays tomorrow.
gracioso adj	gracioso	adj	funny, amusing	Esos chistes graciosos me hacen reír.	Those funny jokes make me laugh.
materno adj	materno	adj	mother	Mi lengua materna es el español.	My mother tongue is Spanish.
diablo noun	diablo	noun	devil	Dicen que el diablo nunca duerme.	They say the devil never sleeps.
averiguar verb	averiguar	verb	to find out, figure out, work out, determine	Ella averiguó quién llamó anoche.	She found out who called last night.
cuello noun	cuello	noun	neck (part of body connecting the head and the torso)	Sentí tensión en el cuello después de muchas horas sentado.	I felt tension in my neck after many hours of sitting.
preferido adj	preferido	adj	preferred, of choice	Su libro preferido es una novela histórica.	Their favorite book is a historical novel.
preferido noun	preferido	noun	favorite (e.g. favorite to win)	Mi preferido en la carrera terminó tercero.	My favorite in the race finished third.
respeto noun	respeto	noun	respect	Mi respeto por tu esfuerzo es sincero.	My respect for your effort is sincere.
dios noun	dios	noun	god	Gracias a Dios, llegamos a tiempo.	Thank God, we arrived on time.
estómago noun	estómago	noun	stomach (an organ in animals that stores food in the process of digestion)	Mi estómago está vacío por la mañana.	My stomach is empty in the morning.
financiero adj	financiero	adj	financial	Necesitamos educación financiera para todos.	We need financial education for everyone.
enseguida adv	enseguida	adv	immediately	Si tienes dudas, pregunta enseguida.	If you have doubts, ask right away.
separar verb	separar	verb	to separate, to detach (to disunite from a group or mass; to disconnect)	Si se separan temprano, llegarán a tiempo.	If they split up early, they will arrive on time.
golf noun	golf	noun	golf	Mi abuelo juega al golf los domingos por la mañana.	My grandfather plays golf on Sunday mornings.
mentiroso adj	mentiroso	adj	having the qualities of a liar	Ellos son mentirosos cuando temen las consecuencias.	They are liars when they fear the consequences.
mentiroso noun	mentiroso	noun	liar	Ese mentiroso siempre cambia su historia.	That liar always changes his story.
víctima noun	víctima	noun	victim	La víctima del accidente recibió ayuda inmediata.	The victim of the accident received immediate help.
izquierdo adj	izquierdo	adj	left; on the left side or toward the left; the opposite of right	El ojo izquierdo me duele hoy.	My left eye hurts today.
vencer verb	vencer	verb	to defeat, to win, to conquer	Ella siempre vence las dificultades.	She always overcomes difficulties.
incapaz adj	incapaz	adj	incapable, unable	Somos incapaces de imaginar ese futuro.	We are unable to imagine that future.
soltar verb	soltar	verb	to release	Ella soltó su mano lentamente.	She let go of his hand slowly.
kilómetro noun	kilómetro	noun	kilometre; kilometer (US)	Faltan dos kilómetros para llegar.	There are two kilometers left to get there.
plata adj	plata	adj	argent	Vi un auto plata en la esquina.	I saw a silver car at the corner.
electricidad noun	electricidad	noun	electricity	Sin electricidad, muchos servicios dejarían de funcionar.	Without electricity, many services would stop working.
plata noun	plata	noun	silver	La plata conduce bien la electricidad.	Silver conducts electricity well.
callar verb	callar	verb	to calm	Por favor calla la radio.	Please silence the radio.
voluntad noun	voluntad	noun	will, wish, want, desire	Su voluntad de ayudar impresiona.	Their willingness to help is impressive.
consciente adj	consciente	adj	aware, cognizant	Sé consciente de tus decisiones.	Be mindful of your decisions.
obedecer verb	obedecer	verb	to obey	Decidimos obedecer para evitar problemas.	We decided to obey to avoid problems.
comienzo noun	comienzo	noun	beginning	El comienzo de la película fue emocionante.	The beginning of the movie was exciting.
fiebre noun	fiebre	noun	fever	La fiebre desapareció después de dormir bien.	The fever went away after sleeping well.
facilidad noun	facilidad	noun	ease (skill, facility)	Aprendió a nadar con facilidad desde pequeño.	He learned to swim easily from a young age.
comunicar verb	comunicar	verb	to communicate	Nos comunicamos por correo cuando viajamos.	We communicate by email when we travel.
tímido adj	tímido	adj	shy, timid, bashful, coy	Ella parece tímida, pero amable.	She seems shy but friendly.
saludar verb	saludar	verb	to greet	Cuando llegues, saluda con una sonrisa.	When you arrive, greet with a smile.
pecho noun	pecho	noun	thorax	Me duele el pecho al respirar.	My chest hurts when I breathe.
juntar verb	juntar	verb	to combine, unite	Quiero juntar nuestras ideas hoy.	I want to put our ideas together today.
epiléptico adj	epiléptico	adj	epileptic	xxx	xxx
crisis noun	crisis	noun	attack; fit	El paciente tuvo una crisis epiléptica en clase.	The patient had an epileptic seizure in class.
embarazado adj	embarazado	adj	pregnant	Ella está embarazada y muy feliz.	She is pregnant and very happy.
origen noun	origen	noun	origin	Cada costumbre tiene su propio origen.	Each custom has its own origin.
desgracia noun	desgracia	noun	disgrace	Su mentira fue una desgracia para la familia.	Their lie was a misfortune for the family.
proponer verb	proponer	verb	to propose, to propound, to put forth, to put forward, to bring forward, to suggest	Ellos proponen cambiar el horario.	They propose changing the schedule.
sospechoso noun	sospechoso	noun	suspect	La sospechosa negó todas las acusaciones.	The suspect denied all the accusations.
discusión noun	discusión	noun	discussion	En casa, la discusión terminó rápidamente.	At home, the argument ended quickly.
consumir verb	consumir	verb	to consume	Mañana consumiré menos datos móviles.	Tomorrow I will use less mobile data.
india noun	india	noun	female equivalent of indio	Esa india habla tres lenguas de su pueblo.	That Indigenous woman speaks three languages of her people.
extender verb	extender	verb	to extend, to expand	La empresa quiere extender sus operaciones internacionales.	The company wants to expand its international operations.
límite noun	límite	noun	limit, threshold, cutoff, cut-off	Conocer mis límites me ayuda a cuidarme.	Knowing my limits helps me take care of myself.
defender verb	defender	verb	to defend, to protect, to hold down (contra (“against”), de (“from”))	Defenderemos nuestros derechos si es necesario.	We will defend our rights if necessary.
cargar verb	cargar	verb	to load (to load a software into the primary memory)	El programa carga las bibliotecas necesarias en memoria.	The program loads the necessary libraries into memory.
batalla noun	batalla	noun	battle	La batalla causó grandes pérdidas humanas.	The battle caused heavy loss of life.
caber verb	caber	verb	to fit, enter (to be able to be contained (by something; regardless of whether space or volume remains))	No cabemos todos en el coche.	We can't all fit in the car.
océano noun	océano	noun	ocean	El océano influye en el clima mundial.	The ocean influences the global climate.
azucarado adj	azucarado	adj	sugary	xxx	xxx
impuesto noun	impuesto	noun	impost	Pagamos un impuesto especial por bebidas azucaradas.	We pay a special tax on sugary drinks.
culpar verb	culpar	verb	to blame	Yo no te culparía por dudar.	I wouldn't blame you for doubting.
control noun	control	noun	control, or running of a business	Perdieron el control financiero por la mala planificación.	They lost financial control due to poor planning.
consistir verb	consistir	verb	to consist of	Nuestras tareas consisten en resolver problemas.	Our tasks consist of solving problems.
venta noun	venta	noun	sale	La venta comenzó a las nueve.	The sale began at nine.
expresión noun	expresión	noun	expression	Algunas expresiones se traducen con dificultad.	Some expressions are difficult to translate.
salida noun	salida	noun	exit, way out	Sigue las señales hacia la salida.	Follow the signs toward the exit.
tamaño noun	tamaño	noun	size	Necesito saber el tamaño correcto.	I need to know the correct size.
salvo adj	salvo	adj	safe	Todos están sanos y salvos ahora.	Everyone is safe and sound now.
salvo adv	salvo	adv	except, apart from	Iré cualquier día, salvo mañana.	I'll go any day, except tomorrow.
gratis adj	gratis	adj	free, without charge	El museo ofrece entrada gratis los domingos.	The museum offers free admission on Sundays.
gratis adv	gratis	adv	free, without charge	Los niños comen gratis los domingos.	Children eat free on Sundays.
falda noun	falda	noun	skirt	Prefiere usar faldas en verano.	She prefers to wear skirts in summer.
aproximadamente adv	aproximadamente	adv	approximately	Vivimos a aproximadamente cinco kilómetros.	We live about five kilometers away.
multitud noun	multitud	noun	multitude	La multitud avanzó lentamente hacia las puertas.	The crowd moved slowly toward the doors.
mínimo adj	mínimo	adj	minimal	La temperatura mínima bajará esta noche.	The minimum temperature will drop tonight.
mínimo noun	mínimo	noun	minimum	No alcanzó el mínimo para aprobar.	They didn't meet the minimum to pass.
habilidad noun	habilidad	noun	ability, skill	Su habilidad matemática lo sorprendió bastante.	Their mathematical ability surprised him quite a bit.
bolso noun	bolso	noun	purse	Puse las llaves en mi bolso rojo.	I put the keys in my red purse.
débil adj	débil	adj	weak	El puente es muy débil todavía.	The bridge is still very weak.
vela noun	vela	noun	candle	Encendí una vela durante la cena.	I lit a candle during dinner.
profundamente adv	profundamente	adv	profoundly, deeply	Pensé profundamente antes de decidir.	I thought deeply before deciding.
impresión noun	impresión	noun	impression	La primera impresión a veces engaña.	First impressions are sometimes deceiving.
anillo noun	anillo	noun	ring	Ella perdió su anillo en la playa ayer.	She lost her ring at the beach yesterday.
mentar verb	mentar	verb	to mention, name	Han mentado tu nombre varias veces hoy.	They have mentioned your name several times today.
reina noun	reina	noun	queen	La joven reina tomó decisiones difíciles.	The young queen made difficult decisions.
oveja noun	oveja	noun	sheep	Contamos ovejas para quedarnos dormidos.	We count sheep to fall asleep.
victoria noun	victoria	noun	victory	Compartieron sus victorias con la comunidad.	They shared their victories with the community.
actor noun	actor	noun	actor (person who performs in a theatrical play or movie)	El actor famoso saludó a todos.	The famous actor greeted everyone.
kilo noun	kilo	noun	kilo (kilogram)	Compré un kilo de manzanas frescas hoy.	I bought a kilo of fresh apples today.
mencionar verb	mencionar	verb	to mention	Quiero mencionar un detalle importante hoy.	I want to mention an important detail today.
torre noun	torre	noun	tower	Pintaron las torres con colores brillantes.	They painted the towers with bright colors.
arrojar verb	arrojar	verb	to throw, to hurl, to toss, to fling (cause an object to move rapidly through the air)	El niño arroja la pelota al jardín todos los días.	The boy throws the ball into the garden every day.
valiente adj	valiente	adj	brave, courageous, fearless	Ella es muy valiente y amable.	She is very brave and kind.
honor noun	honor	noun	honor	Es un honor estar aquí contigo.	It is an honor to be here with you.
vengar verb	vengar	verb	to avenge, get even, take revenge	No deberías vengarte de tus amigos por errores pequeños.	You shouldn't take revenge on your friends for small mistakes.
anterior adj	anterior	adj	anterior (in time), previous, earlier, former, past	Mi jefe anterior me enseñó mucho.	My previous boss taught me a lot.
espíritu noun	espíritu	noun	spirit, soul	Su espíritu fuerte siempre la ayudó.	Her strong spirit always helped her.
parada noun	parada	noun	stop (the act of stopping)	Hicimos una parada para descansar.	We made a stop to rest.
acto noun	acto	noun	act	El acto fue emocionante para todos.	The event was exciting for everyone.
fortuna noun	fortuna	noun	fortune	Por fortuna, llegamos a tiempo hoy.	Fortunately, we arrived on time today.
agregar verb	agregar	verb	to add, collect, aggregate, collate, gather	Vamos a agregar más ejemplos a la lista.	We are going to add more examples to the list.
avisar verb	avisar	verb	to tell, tip off, notify, inform	Apenas llegue, voy a avisarte.	As soon as I arrive, I'm going to let you know.
ahogar verb	ahogar	verb	to drown (be suffocated in water)	El niño se ahogó en el río helado.	The boy drowned in the frozen river.
fracasar verb	fracasar	verb	to fail, flop, lose	El proyecto fracasó por mala planificación.	The project failed due to poor planning.
recién adv	recién	adv	just	Recién nos mudamos a este barrio.	We just moved to this neighborhood.
borrar verb	borrar	verb	to erase or delete	Ayer borré sin querer el mensaje.	Yesterday I accidentally deleted the message.
reducir verb	reducir	verb	to reduce, to lower, to cut, to scale back	Si no reduces la velocidad, podrías tener un accidente.	If you don't slow down, you could have an accident.
sospechar verb	sospechar	verb	to suspect	Sospecho que alguien me miente.	I suspect that someone is lying to me.
lección noun	lección	noun	lesson (a section of a religious text)	La lección de Isaías nos inspira esperanza.	The lesson from Isaiah inspires us with hope.
conversar verb	conversar	verb	to talk, converse	Conversando con el profesor, aprendí mucho.	While talking with the professor, I learned a lot.
fecha noun	fecha	noun	date (that which specifies the time when something was made)	Escribe la fecha completa con día, mes y año.	Write the full date with day, month, and year.
familiar adj	familiar	adj	familial, family	La empresa familiar la dirigía mi madre.	The family business was run by my mother.
familiar noun	familiar	noun	relative, family member	¿Conoces a algún familiar suyo?	Do you know any of their relatives?
posición noun	posición	noun	position	Me siento cómodo en esta posición.	I feel comfortable in this position.
ensalada noun	ensalada	noun	salad	¿Podrías compartir la receta de tu ensalada favorita?	Could you share the recipe for your favorite salad?
santo adj	santo	adj	holy, godly	Para ellos, el matrimonio es santo.	For them, marriage is sacred.
santo noun	santo	noun	male saint	El pueblo celebra la fiesta del santo.	The town celebrates the feast of the saint.
marcar verb	marcar	verb	to mark, to set	Por favor, marca la respuesta correcta.	Please mark the correct answer.
genial adj	genial	adj	genial, pleasant	Tienen vecinos geniales que siempre ayudan.	They have great neighbors who always help.
dibujo noun	dibujo	noun	drawing	Hicimos un dibujo sencillo con lápices.	We made a simple drawing with pencils.
juventud noun	juventud	noun	youth	La juventud necesita espacios seguros.	Young people need safe spaces.
hierba noun	hierba	noun	herb	Añadí hierbas frescas a la sopa.	I added fresh herbs to the soup.
risa noun	risa	noun	laugh, laughter (sound of laughing)	Sus risas llenaron toda la sala.	Their laughter filled the whole room.
banda noun	banda	noun	band, sash	La banda tocó en la plaza anoche.	The band played in the square last night.
criar verb	criar	verb	to rear or raise (e.g., a child)	Mi abuela me crió desde pequeño.	My grandmother raised me since I was little.
escoger verb	escoger	verb	to choose, select, pick	Mi hermano escogió un regalo perfecto.	My brother chose a perfect gift.
vestir verb	vestir	verb	to dress, to clothe, to attire	¿Puedes vestir al niño antes de salir?	Can you dress the child before going out?
cobertura noun	cobertura	noun	cover (something to physically cover), coverage (e.g. of a story in a newspaper), reception; signal (e.g. on a mobile phone) 	xxx	xxx
área noun	área	noun	area (a particular geographic region)	En nuestra área hay poca cobertura.	In our area there is little coverage.
estilo noun	estilo	noun	style	Me gusta su estilo al escribir.	I like their writing style.
departamento noun	departamento	noun	department	Trabajo en el departamento de ventas.	I work in the sales department.
celoso adj	celoso	adj	jealous	Está muy celoso de su hermano.	He is very jealous of his brother.
ducha noun	ducha	noun	shower (device)	Cerré bien la puerta de la ducha.	I closed the shower door tightly.
euro noun	euro	noun	euro (currency)	La entrada cuesta diez euros hoy.	Admission costs ten euros today.
dominar verb	dominar	verb	to dominate; to hold sway	El equipo local dominó todo el partido.	The home team dominated the entire game.
mantequilla noun	mantequilla	noun	butter	Compré mantequilla para el pan.	I bought butter for the bread.
ladrar verb	ladrar	verb	to bark	Si el perro ladra, alguien debe estar llegando.	If the dog barks, someone must be arriving.
convencido adj	convencido	adj	convinced	Estoy convencido de que vendrá.	I'm convinced he will come.
colocar verb	colocar	verb	to place	Coloca las llaves sobre la mesa, por favor.	Place the keys on the table, please.
metal noun	metal	noun	metal	Los metales conducen bien la electricidad.	Metals conduct electricity well.
ridículo adj	ridículo	adj	ridiculous	Ese sombrero verde es ridículo.	That green hat is ridiculous.
ridículo noun	ridículo	noun	ridicule, ridiculousness, laughableness (ridiculous situation)	Cayó en el ridículo por mentir.	He fell into ridicule for lying.
pelea noun	pelea	noun	fight, brawl	Tras la pelea, se disculparon todos.	After the fight, everyone apologized.
mariposa noun	mariposa	noun	butterfly	Vi una mariposa amarilla en el jardín.	I saw a yellow butterfly in the garden.
